CVE_ENT,Entidad,POB_TOTAL,T15ymas,PEA,NO_PEA,OCUPADOS,DESOCUPADOS,FORMALES,INFORMALES
1,Aguascalientes,1315264,958913,560467,398446,541302,19165,302610.01,238691.99
2,Baja California,3566060,2648244,1616851,1031393,1569888,46963,974972.66,594915.34
3,Baja California Sur,801277,596721,396512,200209,377548,18964,229296.98,148251.02
4,Campeche,930007,682534,411076,271458,395726,15350,147481.14,248244.86
5,Coahuila de Zaragoza,3016954,2193861,1376024,817837,1313368,62656,815386.14,497981.86
6,Colima,743300,553275,374198,179077,361298,12900,172082.99,189215.01
7,Chiapas,5358291,3599692,2017499,1582193,1965582,51917,396919.8,1568662.2
8,Chihuahua,3768769,2755218,1640052,1115166,1589819,50233,1021957.91,567861.09
9,Ciudad de México,8819650,7108495,4306333,2802162,4144054,162279,2138961.76,2005092.24
10,Durango,1793014,1285337,750628,534709,720381,30247,344118.08,376262.92
11,Guanajuato,5892310,4253154,2528176,1724978,2440776,87400,1033524.63,1407251.37
12,Guerrero,3600285,2529365,1438425,1090940,1408648,29777,315113.15,1093534.85
13,Hidalgo,2934609,2094677,1180966,913711,1139115,41851,290976.67,848138.33
14,Jalisco,8078141,6010261,3742621,2267640,3640721,101900,1789090.35,1851630.65
15,México,17272485,12754665,7475806,5278859,7168719,307087,3037637.15,4131081.85
16,Michoacán de Ocampo,4647039,3338220,1978419,1359801,1921322,57097,593194.72,1328127.28
17,Morelos,1957177,1478186,834101,644085,819443,14658,264353.95,555089.05
18,Nayarit,1260212,924358,591525,332833,573812,17713,212603.08,361208.92
19,Nuevo León,5202814,3978978,2417477,1561501,2326668,90809,1495540.31,831127.69
20,Oaxaca,4052599,2933509,1640510,1292999,1596752,43758,288614.52,1308137.48
21,Puebla,6291950,4575790,2780286,1795504,2712046,68240,725331.28,1986714.72
22,Querétaro,2052359,1533785,829465,704320,798301,31164,434860.1,363440.9
23,Quintana Roo,1647950,1211178,800847,410331,774490,26357,398029.77,376460.23
24,San Luis Potosí,2793042,2056735,1172979,883756,1149707,23272,505460.63,644246.37
25,Sinaloa,3025678,2230962,1376285,854677,1328463,47822,660404.2,668058.8
26,Sonora,2997240,2228834,1398527,830307,1348733,49794,729628.14,619104.86
27,Tabasco,2422633,1735266,968705,766561,902817,65888,317004.33,585812.67
28,Tamaulipas,3608027,2687653,1623385,1064268,1548005,75380,830140.9,717864.1
29,Tlaxcala,1306628,940620,574251,366369,553858,20393,155213.17,398644.83
30,Veracruz de Ignacio de la Llave,8142581,5993171,3208059,2785112,3096065,111994,975436.95,2120628.05
31,Yucatán,2162792,1634913,1051340,583573,1030154,21186,385130.28,645023.72
32,Zacatecas,1596010,1137976,619925,518051,602314,17611,228352.3,373961.7
